date,product_id,product_name,brand,category,price,competitor_price,cost,search_trend,review_velocity,social_buzz,quantity
2024-01-01,1,Apple iPhone 14,Apple,Smartphone,832,794,582,94.96714153011233,19.308678494144075,59.715328071510385,5
2024-01-02,1,Apple iPhone 14,Apple,Smartphone,838,768,582,92.33095239059745,20.5899730617175,71.93567180519025,5
2024-01-03,1,Apple iPhone 14,Apple,Smartphone,752,770,582,92.22078901564743,16.160117490284613,52.13696903579982,5
2024-01-04,1,Apple iPhone 14,Apple,Smartphone,809,727,582,83.99746149894088,24.737199105233195,54.36551001893273,5
2024-01-05,1,Apple iPhone 14,Apple,Smartphone,753,773,582,95.66112826781041,16.47773274811705,29.330910442662763,5
2024-01-06,1,Apple iPhone 14,Apple,Smartphone,827,759,582,96.98398941331722,19.141855823867907,36.392201297789086,5
2024-01-07,1,Apple iPhone 14,Apple,Smartphone,838,790,582,74.9004271778339,23.60751231179323,37.348701149610726,5
2024-01-08,1,Apple iPhone 14,Apple,Smartphone,756,791,582,100.0,24.656400595580994,37.411737151660425,5
2024-01-09,1,Apple iPhone 14,Apple,Smartphone,840,754,582,78.93665025993971,14.018966879596647,62.18788733591297,5
2024-01-10,1,Apple iPhone 14,Apple,Smartphone,776,856,582,94.67794753263152,23.680611753346287,38.30447179010182,5
2024-01-11,1,Apple iPhone 14,Apple,Smartphone,753,870,582,91.50489078110596,19.43289374326803,89.50292330918185,5
2024-01-12,1,Apple iPhone 14,Apple,Smartphone,755,747,582,87.87838578288373,17.865656029801386,57.52172497287208,5
2024-01-13,1,Apple iPhone 14,Apple,Smartphone,811,848,582,86.5591945868868,23.753929427947106,45.085622250829964,5
2024-01-14,1,Apple iPhone 14,Apple,Smartphone,793,871,582,63.4482395243653,21.72758971944383,44.0672532262956,5
2024-01-15,1,Apple iPhone 14,Apple,Smartphone,805,800,582,80.56943191532739,27.019793693296467,49.7217379323254,5
2024-01-16,1,Apple iPhone 14,Apple,Smartphone,781,879,582,88.07639035218878,21.507736711668063,49.47932345442135,5
2024-01-17,1,Apple iPhone 14,Apple,Smartphone,835,858,582,97.27833114165867,16.9046531982252,55.342397455840704,5
2024-01-18,1,Apple iPhone 14,Apple,Smartphone,768,867,582,100.0,24.367947078176897,50.13716518610206,5
